choices,feedback,role,agent_self_type,agent_other_type,trial,game_id,combination,values
0,0,hider,WSLS,WSLS,17,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,18,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,19,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,20,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,21,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,22,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,23,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,24,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,25,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,26,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,27,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,28,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,29,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,30,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,31,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,32,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,33,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,34,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,35,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,36,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,37,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,38,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,39,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,40,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,41,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,42,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,43,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,44,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,45,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,46,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,47,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,48,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,49,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,50,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,51,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,52,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,53,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,54,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,55,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,56,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,57,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,58,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,59,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,60,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,61,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,62,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,63,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,64,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,65,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,66,2,WSLS_WSLS,NA
